rpm,sheavePos,wheel_rpm
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -92, 0
0, -89, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -90, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -89, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
0, -91, 0
