time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,rl_speed_mph,rr_speed_mph,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1600.00,1.00,0,0,0.00,0.00,-1607,-1207
1051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1620.48,1.00,0,0,0.00,0.00,-2039,-1639
1251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1633.99,1.00,0,0,0.00,0.00,-2935,-2535
1451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1613.92,1.00,0,0,0.00,0.00,-3867,-3467
1651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1666.18,1.00,0,0,0.00,0.00,-4904,-4504
1851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1692.71,1.00,0,0,0.00,0.00,-5464,-5064
2051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1703.57,1.00,0,0,0.00,0.00,-5447,-5847
2251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1708.02,1.00,0,0,0.00,0.00,-4657,-5057
2451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1730.33,1.00,0,0,0.00,0.00,-4484,-4434
2651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1705.86,1.00,0,0,0.00,0.00,-4656,-4606
2851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1729.44,1.00,0,0,0.00,0.00,-4827,-4777
3051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1728.36,1.00,0,0,0.00,0.00,-4964,-4914
3251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1706.25,1.00,0,0,0.00,0.00,-5073,-5023
3451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1563.54,1.00,0,0,0.00,0.00,-5241,-5191
