time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,rl_speed_mph,rr_speed_mph,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-2475,-2075
1052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-3464,-3064
1252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4718,-4318
1452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5916,-5516
1652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5217,-5617
1852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4444,-4844
2052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4720,-4670
2252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4922,-4872
2452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5121,-5071
2652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5325,-5275
2852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5514,-5464
3052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5713,-5663
3252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-6700,-7500
3452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-5610
3652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-4157
3852,0.00,0.00,12.50,50.00,0.00,0.82,0.41,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-1926
4052,0.00,0.00,21.88,50.00,0.00,1.43,0.72,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-466
4252,0.00,0.00,16.41,0.00,0.00,1.07,0.54,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
4452,0.00,0.00,12.30,0.00,0.00,0.81,0.40,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
4652,0.00,0.00,9.23,0.00,0.00,0.60,0.30,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
4852,0.00,0.00,6.92,0.00,0.00,0.45,0.23,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5052,0.00,0.00,5.19,0.00,0.00,0.34,0.17,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5252,0.00,0.00,3.89,0.00,0.00,0.25,0.13,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5452,0.00,0.00,2.92,0.00,0.00,0.19,0.10,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5652,0.00,0.00,2.19,0.00,0.00,0.14,0.07,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5852,0.00,0.00,1.64,0.00,0.00,0.11,0.05,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6052,0.00,0.00,1.23,0.00,0.00,0.08,0.04,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6252,0.00,0.00,0.92,0.00,0.00,0.06,0.03,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6452,0.00,0.00,0.69,0.00,0.00,0.05,0.02,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6652,0.00,0.00,0.52,0.00,0.00,0.03,0.02,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6852,0.00,0.00,0.39,0.00,0.00,0.03,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7052,0.00,0.00,0.29,0.00,0.00,0.02,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7252,0.00,0.00,0.22,0.00,0.00,0.01,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7452,0.00,0.00,0.16,0.00,0.00,0.01,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7652,0.00,0.00,0.12,0.00,0.00,0.01,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7852,0.00,0.00,0.09,0.00,0.00,0.01,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8052,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8252,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
