time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-1800,-1400
1052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-2240,-1840
1252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-3203,-2803
1452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4138,-3738
1652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5132,-4732
1852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-6107,-5707
2052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5342,-5742
2252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4371,-4771
2452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4727,-4677
2652,0.00,0.00,75.00,299.99,2.45,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4908,-4858
2852,0.00,0.00,118.75,250.01,3.89,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5088,-5038
3052,0.00,0.00,126.56,150.00,4.14,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5256,-5206
3252,0.00,0.00,119.92,100.00,3.92,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5442,-5392
3452,0.00,0.00,127.44,150.00,4.17,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5622,-5572
3652,0.00,0.00,108.08,50.00,3.54,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5803,-5753
3852,0.00,0.00,106.06,100.01,3.47,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-6071
4052,0.00,0.00,104.55,100.00,3.42,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-5732
