time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
856,0.00,0.00,71.07,284.30,0.02,0.00,0.00,0.0000,6.0000,1665.31,0.00,0,0,0.00,0.00,-1810,-1410
1056,0.00,0.00,115.81,250.01,0.04,0.00,0.00,0.0000,6.0000,1692.35,0.00,0,0,0.00,0.00,-2279,-1879
1256,0.00,0.00,161.85,299.99,0.06,0.00,0.00,0.0000,6.0000,1703.43,0.00,0,0,0.00,0.00,-3265,-2865
1456,0.00,0.00,196.39,300.01,0.07,0.00,0.00,0.0000,6.0000,1707.96,0.00,0,0,0.00,0.00,-4226,-3826
1656,0.00,0.00,222.29,299.98,0.08,0.00,0.00,0.0000,6.0000,1676.22,0.00,0,0,0.00,0.00,-5182,-4782
1856,0.00,0.00,216.72,200.01,0.08,0.00,0.00,0.0000,6.0000,1691.70,0.00,0,0,0.00,0.00,-6191,-5791
2056,0.00,0.00,187.54,100.00,0.07,0.00,0.00,0.0000,6.0000,1663.16,0.00,0,0,0.00,0.00,-5433,-5833
2256,0.00,0.00,240.66,400.00,0.08,0.00,0.00,0.0000,6.0000,1686.35,0.00,0,0,0.00,0.00,-4425,-4825
2456,0.00,0.00,255.49,300.00,0.09,0.00,0.00,0.0000,6.0000,1667.37,0.00,0,0,0.00,0.00,-4792,-4742
2656,0.00,0.00,254.12,249.99,0.09,0.00,0.00,0.0000,6.0000,1653.19,0.00,0,0,0.00,0.00,-4970,-4920
2856,0.00,0.00,290.59,400.02,0.10,0.00,0.00,0.0000,6.0000,1682.27,0.00,0,0,0.00,0.00,-5141,-5091
3056,0.00,0.00,305.44,350.00,0.11,0.00,0.00,0.0000,6.0000,1665.70,0.00,0,0,0.00,0.00,-5326,-5276
3256,0.00,0.00,329.08,400.00,0.11,0.00,0.00,0.0000,6.0000,1679.39,0.00,0,0,0.00,0.00,-5517,-5467
3456,0.00,0.00,396.81,600.00,0.14,0.00,0.00,0.0000,6.0000,1685.00,0.00,0,0,0.00,0.00,-5709,-5659
3656,0.00,0.00,385.11,349.99,0.13,0.00,0.00,0.0000,6.0000,1660.42,0.00,0,0,0.00,0.00,-5898,-5848
3856,0.00,0.00,301.33,50.00,0.10,0.00,0.00,0.0000,6.0000,1677.23,0.00,0,0,0.00,0.00,0,-5295
4056,0.00,0.00,226.00,0.00,0.08,0.00,0.00,0.0000,6.0000,1697.23,0.00,0,0,0.00,0.00,0,-2477
4256,0.00,0.00,194.50,99.99,0.07,0.00,0.00,0.0000,6.0000,1705.43,0.00,0,0,0.00,0.00,0,-209
4456,0.00,0.00,220.88,300.01,0.08,0.00,0.00,0.0000,6.0000,1708.78,0.00,0,0,0.00,0.00,0,0
4656,0.00,0.00,240.65,299.99,0.08,0.00,0.00,0.0000,6.0000,1702.16,0.00,0,0,0.00,0.00,0,0
4856,0.00,0.00,242.99,250.01,0.08,0.00,0.00,0.0000,6.0000,1699.44,0.00,0,0,0.00,0.00,0,0
5056,0.00,0.00,244.74,250.00,0.08,0.00,0.00,0.0000,6.0000,1698.33,0.00,0,0,0.00,0.00,0,0
5256,0.00,0.00,258.56,300.00,0.09,0.00,0.00,0.0000,6.0000,1692.76,0.00,0,0,0.00,0.00,0,0
5456,0.00,0.00,268.92,300.00,0.09,0.00,0.00,0.0000,6.0000,1724.07,0.00,0,0,0.00,0.00,0,0
5656,0.00,0.00,276.69,299.99,0.10,0.00,0.00,0.0000,6.0000,1743.30,0.00,0,0,0.00,0.00,0,0
5856,0.00,0.00,282.52,300.01,0.10,0.00,0.00,0.0000,6.0000,1724.30,0.00,0,0,0.00,0.00,0,0
6056,0.00,0.00,336.89,500.00,0.12,0.00,0.00,0.0000,6.0000,1743.39,0.00,0,0,0.00,0.00,0,0
6256,0.00,0.00,340.17,350.00,0.12,0.00,0.00,0.0000,6.0000,1724.33,0.00,0,0,0.00,0.00,0,0
6456,0.00,0.00,330.12,300.00,0.11,0.00,0.00,0.0000,6.0000,1743.41,0.00,0,0,0.00,0.00,0,0
6656,0.00,0.00,335.09,349.99,0.12,0.00,0.00,0.0000,6.0000,2000.50,0.00,0,0,0.00,0.00,26,0
6856,0.00,0.00,351.32,400.02,0.12,0.00,0.00,0.0000,6.0000,2204.36,0.00,0,0,0.00,0.00,2572,387
7056,0.00,0.00,263.49,0.00,0.09,0.00,0.00,0.0000,6.0000,2311.87,0.00,0,0,0.00,0.00,3914,1824
7256,0.00,0.00,322.62,500.00,0.11,0.00,0.00,0.0000,6.0000,2395.90,0.00,0,0,0.00,0.00,4963,2253
7456,0.00,0.00,241.96,0.00,0.08,0.00,0.00,0.0000,6.0000,2516.40,0.00,0,0,0.00,0.00,6468,4464
7656,0.00,0.00,181.47,0.00,0.06,0.00,0.00,0.0000,6.0000,2591.36,0.00,0,0,0.00,0.00,7404,6810
7856,12.50,50.00,173.61,150.01,0.06,0.00,0.00,0.0000,6.0000,2503.98,0.00,0,0,0.00,0.00,6548,7541
8056,21.88,50.00,167.70,150.00,0.07,0.00,0.00,0.0022,5.9978,2448.99,0.00,0,0,0.00,0.00,5626,6348
8256,41.41,100.00,138.28,50.00,0.06,0.00,0.00,0.0022,5.9978,2707.75,0.00,0,0,0.00,0.00,8857,6444
8456,56.05,100.00,128.71,100.00,0.06,0.00,0.00,0.0022,5.9978,2880.29,0.00,0,0,0.00,0.00,11012,8432
8656,67.04,100.00,146.53,199.99,0.07,0.00,0.00,0.0022,5.9978,3003.45,0.00,0,0,0.00,0.00,12550,10221
8856,87.78,150.00,134.90,100.00,0.08,0.00,0.00,0.0022,5.9978,3119.49,0.00,0,0,0.00,0.00,13999,11796
9056,103.34,150.00,101.17,0.00,0.07,0.00,0.00,0.0022,5.9978,3272.62,0.00,0,0,0.00,0.00,15911,9971
9256,127.50,200.00,75.88,0.00,0.07,0.00,0.00,0.0022,5.9978,3531.51,0.00,0,0,0.00,0.00,19144,10148
9456,133.13,150.00,106.91,200.00,0.08,0.00,0.00,0.0022,5.9978,3750.51,0.00,0,0,0.00,0.00,20000,11793
9656,149.84,200.00,130.18,199.99,0.10,0.00,0.00,0.0022,5.9978,3747.73,0.00,0,0,0.00,0.00,20000,11437
9856,162.38,200.00,172.64,300.02,0.12,0.00,0.00,0.0022,5.9978,3871.07,0.00,0,0,0.00,0.00,20000,11770
10056,159.29,150.00,154.48,100.00,0.11,0.00,0.00,0.0022,5.9978,3915.19,0.00,0,0,0.00,0.00,20000,13839
10256,181.97,250.00,140.86,100.00,0.11,0.00,0.00,0.0022,5.9978,3879.18,0.00,0,0,0.00,0.00,20000,12187
10456,186.47,200.00,105.64,0.00,0.10,0.00,0.00,0.0022,5.9978,4010.99,0.00,0,0,0.00,0.00,20000,12275
10656,189.86,200.00,79.23,0.00,0.09,0.00,0.00,0.0022,5.9978,3932.50,0.00,0,0,0.00,0.00,20000,14688
10856,192.39,200.00,84.43,100.00,0.10,0.00,0.00,0.0022,5.9978,3814.27,0.00,0,0,0.00,0.00,20000,14727
11056,194.29,200.00,63.32,0.00,0.09,0.00,0.00,0.0022,5.9978,3635.29,0.00,0,0,0.00,0.00,20000,14807
11256,208.22,250.00,59.99,50.00,0.09,0.00,0.00,0.0022,5.9978,3536.37,0.00,0,0,0.00,0.00,19205,15628
11456,206.17,200.00,57.49,50.00,0.09,0.00,0.00,0.0022,5.9978,3481.46,0.00,0,0,0.00,0.00,18519,16934
11656,204.62,200.00,43.12,0.00,0.09,0.00,0.00,0.0022,5.9978,3493.85,0.00,0,0,0.00,0.00,18674,16017
11856,215.97,250.00,57.34,100.00,0.09,0.00,0.00,0.0022,5.9978,3582.12,0.00,0,0,0.00,0.00,19776,16596
12056,224.48,250.00,68.01,100.00,0.10,0.00,0.00,0.0022,5.9978,3613.16,0.00,0,0,0.00,0.00,20000,18458
12256,230.86,250.00,76.00,100.00,0.11,0.00,0.00,0.0022,5.9978,3544.91,0.00,0,0,0.00,0.00,19526,18437
12456,235.64,250.00,107.00,200.00,0.12,0.00,0.00,0.0022,5.9978,3537.44,0.00,0,0,0.00,0.00,21137,20063
12656,239.23,250.00,80.25,0.00,0.11,0.00,0.00,0.0022,5.9978,3416.29,0.00,0,0,0.00,0.00,22548,21716
12856,241.92,250.00,60.19,0.00,0.10,0.00,0.00,0.0022,5.9978,3446.67,0.00,0,0,0.00,0.00,20239,19346
13056,256.44,300.00,45.14,0.00,0.10,0.00,0.00,0.0022,5.9978,3541.36,0.00,0,0,0.00,0.00,20342,19260
13256,254.83,250.00,33.86,0.00,0.10,0.00,0.00,0.0022,5.9978,3662.06,0.00,0,0,0.00,0.00,21026,19702
13456,266.12,300.00,125.39,400.00,0.14,0.00,0.00,0.0022,5.9978,3691.02,0.00,0,0,0.00,0.00,21982,20600
13656,274.59,300.00,119.04,100.00,0.14,0.00,0.00,0.0022,5.9978,3571.68,0.00,0,0,0.00,0.00,23776,22633
13856,280.94,300.00,114.28,100.00,0.14,0.00,0.00,0.0022,5.9978,3398.32,0.00,0,0,0.00,0.00,25156,24360
14056,285.71,300.00,110.71,100.00,0.14,0.00,0.00,0.0022,5.9978,3281.23,0.00,0,0,0.00,0.00,23615,23053
14256,289.28,300.00,83.03,0.00,0.13,0.00,0.00,0.0022,5.9978,3391.35,0.00,0,0,0.00,0.00,23807,23025
14456,291.96,300.00,62.28,0.00,0.12,0.00,0.00,0.0022,5.9978,3396.46,0.00,0,0,0.00,0.00,25199,24407
14656,293.97,300.00,71.71,100.00,0.13,0.00,0.00,0.0022,5.9978,3280.47,0.00,0,0,0.00,0.00,26372,25812
14856,307.98,350.00,53.78,0.00,0.13,0.00,0.00,0.0022,5.9978,3160.96,0.00,0,0,0.00,0.00,26897,26576
15056,305.98,300.00,40.33,0.00,0.12,0.00,0.00,0.0022,5.9978,3118.41,0.00,0,0,0.00,0.00,27610,27374
15256,316.99,350.00,30.25,0.00,0.12,0.00,0.00,0.0022,5.9978,3048.50,0.00,0,0,0.00,0.00,28024,27927
15456,325.24,350.00,47.69,100.00,0.13,0.00,0.00,0.0022,5.9978,3019.87,0.00,0,0,0.00,0.00,28209,28170
15656,331.43,350.00,35.77,0.00,0.13,0.00,0.00,0.0022,5.9978,3008.14,0.00,0,0,0.00,0.00,28300,28284
15856,336.07,350.00,26.82,0.00,0.13,0.00,0.00,0.0022,5.9978,3003.33,0.00,0,0,0.00,0.00,28341,28335
16056,339.55,350.00,20.12,0.00,0.12,0.00,0.00,0.0022,5.9978,3026.97,0.00,0,0,0.00,0.00,28523,28470
16256,342.17,350.00,15.09,0.00,0.12,0.00,0.00,0.0022,5.9978,3031.53,0.00,0,0,0.00,0.00,28818,28755
16456,344.12,350.00,11.32,0.00,0.12,0.00,0.00,0.0022,5.9978,3033.39,0.00,0,0,0.00,0.00,29097,29031
16656,345.59,350.00,58.49,200.00,0.14,0.00,0.00,0.0022,5.9978,3013.68,0.00,0,0,0.00,0.00,29237,29210
16856,359.20,400.00,43.86,0.00,0.14,0.00,0.00,0.0022,5.9978,3005.60,0.00,0,0,0.00,0.00,29301,29290
17056,356.90,350.00,32.90,0.00,0.14,0.00,0.00,0.0022,5.9978,3002.29,0.00,0,0,0.00,0.00,29326,29322
17256,355.17,350.00,24.67,0.00,0.13,0.00,0.00,0.0022,5.9978,3000.94,0.00,0,0,0.00,0.00,29333,29332
17456,366.38,400.00,18.51,0.00,0.13,0.00,0.00,0.0022,5.9978,3000.39,0.00,0,0,0.00,0.00,29335,29335
17656,362.28,350.00,13.88,0.00,0.13,0.00,0.00,0.0022,5.9978,2960.16,0.00,0,0,0.00,0.00,29256,29336
17856,359.21,350.00,10.41,0.00,0.13,0.00,0.00,0.0022,5.9978,2736.00,0.00,0,0,0.00,0.00,28364,28892
18056,344.41,300.00,7.81,0.00,0.12,0.00,0.00,0.0022,5.9978,2655.71,0.00,0,0,0.00,0.00,26941,27630
18256,345.81,350.00,5.86,0.00,0.12,0.00,0.00,0.0022,5.9978,2654.82,0.00,0,0,0.00,0.00,25557,26248
18456,321.86,250.00,4.39,0.00,0.11,0.00,0.00,0.0022,5.9978,2674.93,0.00,0,0,0.00,0.00,24280,24931
18656,316.39,300.00,3.29,0.00,0.11,0.00,0.00,0.0022,5.9978,2683.17,0.00,0,0,0.00,0.00,23057,23691
18856,299.79,250.00,2.47,0.00,0.10,0.00,0.00,0.0022,5.9978,2726.55,0.00,0,0,0.00,0.00,22006,22553
19056,287.35,250.00,51.85,200.00,0.12,0.00,0.00,0.0022,5.9978,2709.43,0.00,0,0,0.00,0.00,21232,21814
19256,278.01,250.00,88.89,200.00,0.13,0.00,0.00,0.0022,5.9978,2730.90,0.00,0,0,0.00,0.00,20125,20664
19456,271.01,250.00,116.67,200.00,0.13,0.00,0.00,0.0022,5.9978,2759.22,0.00,0,0,0.00,0.00,18960,19442
19656,253.26,200.00,212.50,499.99,0.16,0.00,0.00,0.0022,5.9978,2920.90,0.00,0,0,0.00,0.00,18226,18385
19856,239.94,200.00,184.37,100.00,0.15,0.00,0.00,0.0022,5.9978,2999.60,0.00,0,0,0.00,0.00,18044,18045
20056,242.46,250.00,163.28,100.00,0.14,0.00,0.00,0.0022,5.9978,3149.92,0.00,0,0,0.00,0.00,18630,18331
20256,244.34,250.00,122.46,0.00,0.13,0.00,0.00,0.0022,5.9978,3297.57,0.00,0,0,0.00,0.00,19927,19332
20456,245.76,250.00,141.85,200.00,0.13,0.00,0.00,0.0022,5.9978,3305.56,0.00,0,0,0.00,0.00,21194,20583
20656,246.82,250.00,156.38,199.99,0.14,0.00,0.00,0.0022,5.9978,3275.24,0.00,0,0,0.00,0.00,22308,21758
20856,247.61,250.00,142.29,100.00,0.14,0.00,0.00,0.0022,5.9978,3178.34,0.00,0,0,0.00,0.00,20801,20445
21056,248.21,250.00,106.72,0.00,0.12,0.00,0.00,0.0022,5.9978,3243.61,0.00,0,0,0.00,0.00,21503,21016
21256,248.66,250.00,80.04,0.00,0.11,0.00,0.00,0.0022,5.9978,3002.18,0.00,0,0,0.00,0.00,21701,21697
21456,248.99,250.00,60.03,0.00,0.11,0.00,0.00,0.0022,5.9978,2810.81,0.00,0,0,0.00,0.00,21052,21431
21656,236.74,200.00,45.02,0.00,0.10,0.00,0.00,0.0022,5.9978,2686.35,0.00,0,0,0.00,0.00,19825,20453
21856,227.56,200.00,46.27,50.00,0.10,0.00,0.00,0.0022,5.9978,2609.77,0.00,0,0,0.00,0.00,18374,19155
22056,220.67,200.00,97.20,250.01,0.11,0.00,0.00,0.0022,5.9978,2701.60,0.00,0,0,0.00,0.00,17095,17692
22256,215.50,200.00,122.90,200.00,0.12,0.00,0.00,0.0022,5.9978,2825.30,0.00,0,0,0.00,0.00,16145,16495
22456,211.63,200.00,92.18,0.00,0.11,0.00,0.00,0.0022,5.9978,2988.92,0.00,0,0,0.00,0.00,15862,15885
22656,208.72,200.00,144.13,299.99,0.12,0.00,0.00,0.0022,5.9978,3021.06,0.00,0,0,0.00,0.00,15973,15931
22856,206.54,200.00,133.10,100.00,0.12,0.00,0.00,0.0022,5.9978,3008.63,0.00,0,0,0.00,0.00,16067,16050
23056,192.40,150.00,99.82,0.00,0.10,0.00,0.00,0.0022,5.9978,2963.53,0.00,0,0,0.00,0.00,16030,16103
23256,194.30,200.00,74.87,0.00,0.09,0.00,0.00,0.0022,5.9978,2919.46,0.00,0,0,0.00,0.00,15705,15867
23456,183.23,150.00,131.15,300.00,0.11,0.00,0.00,0.0022,5.9978,2914.53,0.00,0,0,0.00,0.00,15180,15351
23656,187.42,200.00,123.36,100.00,0.11,0.00,0.00,0.0022,5.9978,2944.51,0.00,0,0,0.00,0.00,14710,14821
23856,190.57,200.00,92.52,0.00,0.10,0.00,0.00,0.0022,5.9978,3042.87,0.00,0,0,0.00,0.00,14724,14639
24056,180.42,150.00,106.89,150.00,0.10,0.00,0.00,0.0022,5.9978,3201.24,0.00,0,0,0.00,0.00,15495,15093
24256,185.32,200.00,142.67,250.00,0.11,0.00,0.00,0.0022,5.9978,3266.11,0.00,0,0,0.00,0.00,16676,16144
24456,188.99,200.00,119.50,50.00,0.11,0.00,0.00,0.0022,5.9978,3252.68,0.00,0,0,0.00,0.00,17814,17309
24656,204.24,250.00,152.12,249.99,0.12,0.00,0.00,0.0044,5.9956,3247.18,0.00,0,0,0.00,0.00,18382,17888
24856,203.18,200.00,139.09,100.01,0.12,0.00,0.00,0.0044,5.9956,3219.32,0.00,0,0,0.00,0.00,19247,18809
25056,214.89,250.00,179.32,299.99,0.14,0.00,0.00,0.0044,5.9956,3167.92,0.00,0,0,0.00,0.00,20125,19790
25256,211.16,200.00,159.49,100.00,0.13,0.00,0.00,0.0044,5.9956,3114.86,0.00,0,0,0.00,0.00,20934,20705
25456,220.87,250.00,157.12,150.00,0.13,0.00,0.00,0.0044,5.9956,3107.53,0.00,0,0,0.00,0.00,21522,21307
25656,228.15,250.00,130.34,50.00,0.12,0.00,0.00,0.0044,5.9956,3076.04,0.00,0,0,0.00,0.00,21973,21821
25856,233.62,250.00,97.75,0.00,0.12,0.00,0.00,0.0044,5.9956,3063.15,0.00,0,0,0.00,0.00,22321,22195
26056,237.71,250.00,98.31,100.00,0.12,0.00,0.00,0.0044,5.9956,3057.87,0.00,0,0,0.00,0.00,22610,22495
26256,253.28,300.00,98.74,100.00,0.12,0.00,0.00,0.0044,5.9956,3049.30,0.00,0,0,0.00,0.00,22982,22884
26456,239.96,200.00,74.05,0.00,0.11,0.00,0.00,0.0044,5.9956,4321.36,0.00,0,0,0.00,0.00,25756,23114
26656,242.47,250.00,55.54,0.00,0.10,0.00,0.00,0.0044,5.9956,3135.89,0.00,0,0,0.00,0.00,23776,23505
26856,231.85,200.00,41.65,0.00,0.09,0.00,0.00,0.0044,5.9956,2511.34,0.00,0,0,0.00,0.00,22614,23592
27056,211.39,150.00,31.24,0.00,0.08,0.00,0.00,0.0044,5.9956,2249.45,0.00,0,0,0.00,0.00,20274,21776
27256,208.54,200.00,48.43,100.00,0.09,0.00,0.00,0.0044,5.9956,2214.17,0.00,0,0,0.00,0.00,17985,19557
