time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
849,0.00,0.00,11.90,47.58,0.39,0.00,0.00,0.0000,6.0000,1657.92,0.00,0,0,0.00,0.00,-1650,-1250
1049,0.00,0.00,8.92,0.00,0.29,0.00,0.00,0.0000,6.0000,1623.72,0.00,0,0,0.00,0.00,-2264,-1864
1249,0.00,0.00,6.69,0.00,0.22,0.00,0.00,0.0000,6.0000,1641.72,0.00,0,0,0.00,0.00,-3188,-2788
1449,0.00,0.00,5.02,0.00,0.16,0.00,0.00,0.0000,6.0000,1617.09,0.00,0,0,0.00,0.00,-4117,-3717
1649,0.00,0.00,3.76,0.00,0.12,0.00,0.00,0.0000,6.0000,1647.00,0.00,0,0,0.00,0.00,-3793,-4193
1849,0.00,0.00,2.82,0.00,0.09,0.00,0.00,0.0000,6.0000,1619.25,0.00,0,0,0.00,0.00,-2839,-3239
2049,0.00,0.00,89.62,350.01,2.93,0.00,0.00,0.0000,6.0000,1633.49,0.00,0,0,0.00,0.00,-2955,-2905
2249,0.00,0.00,67.21,0.00,2.20,0.00,0.00,0.0000,6.0000,1653.72,0.00,0,0,0.00,0.00,-3141,-3091
2449,0.00,0.00,50.41,0.00,1.65,0.00,0.00,0.0000,6.0000,1622.00,0.00,0,0,0.00,0.00,-3315,-3265
2649,0.00,0.00,37.81,0.00,1.24,0.00,0.00,0.0000,6.0000,1609.01,0.00,0,0,0.00,0.00,-3489,-3439
2849,0.00,0.00,28.36,0.00,0.93,0.00,0.00,0.0000,6.0000,1603.69,0.00,0,0,0.00,0.00,-3671,-3621
3049,0.00,0.00,21.27,0.00,0.70,0.00,0.00,0.0000,6.0000,1561.51,0.00,0,0,0.00,0.00,-3848,-3798
3249,0.00,0.00,15.95,0.00,0.52,0.00,0.00,0.0000,6.0000,1593.00,0.00,0,0,0.00,0.00,-3977,-3927
3449,0.00,0.00,11.96,0.00,0.39,0.00,0.00,0.0000,6.0000,1597.13,0.00,0,0,0.00,0.00,-4157,-4107
3649,0.00,0.00,21.47,50.00,0.70,0.00,0.00,0.0000,6.0000,1558.83,0.00,0,0,0.00,0.00,0,-7500
3849,0.00,0.00,16.10,0.00,0.53,0.00,0.00,0.0000,6.0000,1583.14,0.00,0,0,0.00,0.00,0,-7500
4049,0.00,0.00,12.08,0.00,0.40,0.00,0.00,0.0000,6.0000,1593.09,0.00,0,0,0.00,0.00,0,-7500
4249,0.00,0.00,9.06,0.00,0.30,0.00,0.00,0.0000,6.0000,1576.69,0.00,0,0,0.00,0.00,0,-5456
4449,0.00,0.00,6.79,0.00,0.22,0.00,0.00,0.0000,6.0000,1564.85,0.00,0,0,0.00,0.00,0,-2645
4649,0.00,0.00,5.10,0.00,0.17,0.00,0.00,0.0000,6.0000,1585.60,0.00,0,0,0.00,0.00,0,-282
4849,0.00,0.00,16.32,50.00,0.53,0.00,0.00,0.0000,6.0000,1594.10,0.00,0,0,0.00,0.00,0,0
5049,0.00,0.00,12.24,0.00,0.40,0.00,0.00,0.0000,6.0000,1597.58,0.00,0,0,0.00,0.00,0,0
5249,0.00,0.00,9.18,0.00,0.30,0.00,0.00,0.0000,6.0000,1599.01,0.00,0,0,0.00,0.00,0,0
5449,0.00,0.00,6.89,0.00,0.23,0.00,0.00,0.0000,6.0000,1599.59,0.00,0,0,0.00,0.00,0,0
5649,0.00,0.00,5.16,0.00,0.17,0.00,0.00,0.0000,6.0000,1574.23,0.00,0,0,0.00,0.00,0,0
5849,0.00,0.00,3.87,0.00,0.13,0.00,0.00,0.0000,6.0000,1589.45,0.00,0,0,0.00,0.00,0,0
6049,0.00,0.00,2.90,0.00,0.10,0.00,0.00,0.0000,6.0000,1595.68,0.00,0,0,0.00,0.00,0,0
6249,0.00,0.00,2.18,0.00,0.07,0.00,0.00,0.0000,6.0000,1690.71,0.00,0,0,0.00,0.00,0,0
6449,0.00,0.00,64.13,249.99,2.10,0.00,0.00,0.0000,6.0000,2057.31,0.00,0,0,0.00,0.00,735,0
6649,0.00,0.00,98.10,200.00,3.21,0.00,0.00,0.0000,6.0000,2495.80,0.00,0,0,0.00,0.00,6211,597
6849,0.00,0.00,73.57,0.00,2.41,0.00,0.00,0.0000,6.0000,2735.88,0.00,0,0,0.00,0.00,9209,2899
7049,0.00,0.00,55.18,0.00,1.81,0.00,0.00,0.0000,6.0000,2773.74,0.00,0,0,0.00,0.00,9682,5692
7249,0.00,0.00,91.38,200.00,2.99,0.00,0.00,0.0000,6.0000,2723.64,0.00,0,0,0.00,0.00,9056,6350
7449,0.00,0.00,131.04,250.01,4.29,0.00,0.00,0.0000,6.0000,2671.12,0.00,0,0,0.00,0.00,8400,7735
7649,25.00,100.00,98.28,0.00,4.03,0.00,0.00,0.0000,6.0000,2491.53,0.00,0,0,0.00,0.00,7063,8080
7849,43.75,100.00,86.21,50.00,4.25,0.00,0.00,0.0000,6.0000,2469.49,0.00,0,0,0.00,0.00,5882,6660
8049,57.81,100.00,77.16,50.00,4.42,0.00,0.00,0.0000,6.0000,2711.02,0.00,0,0,0.00,0.00,8898,5410
8249,68.36,100.00,57.87,0.00,4.13,0.00,0.00,0.0000,6.0000,3085.80,0.00,0,0,0.00,0.00,13578,5858
8449,76.27,100.00,105.90,250.01,5.96,0.00,0.00,0.0000,6.0000,3239.30,0.00,0,0,0.00,0.00,15495,8498
8649,94.70,150.00,91.93,50.00,6.11,0.00,0.00,0.0000,6.0000,3216.10,0.00,0,0,0.00,0.00,15206,9753
8849,108.53,150.00,118.95,200.01,7.44,0.00,0.00,0.0000,6.0000,3356.67,0.00,0,0,0.00,0.00,16961,9953
9049,118.89,150.00,139.21,200.00,8.45,0.00,0.00,0.0000,6.0000,3500.33,0.00,0,0,0.00,0.00,18755,11689
9249,126.67,150.00,141.91,150.00,8.79,0.00,0.00,0.0000,6.0000,3567.18,0.00,0,0,0.00,0.00,19590,10283
9449,145.00,200.00,206.43,399.99,11.50,0.00,0.00,0.0000,6.0000,3684.16,0.00,0,0,0.00,0.00,20000,10675
9649,146.25,150.00,192.32,149.99,11.08,0.00,0.00,0.0000,6.0000,3666.47,0.00,0,0,0.00,0.00,20000,13171
9849,159.69,200.00,194.24,200.01,11.58,0.00,0.00,0.0000,6.0000,3541.15,0.00,0,0,0.00,0.00,19265,13532
10049,169.77,200.00,195.68,200.00,11.96,0.00,0.00,0.0000,6.0000,3581.02,0.00,0,0,0.00,0.00,0,12746
10249,177.33,200.00,146.76,0.00,10.61,0.00,0.00,0.0000,6.0000,3713.57,0.00,0,0,0.00,0.00,20000,12797
10449,182.99,200.00,210.07,399.99,12.86,0.00,0.00,0.0000,6.0000,3764.60,0.00,0,0,0.00,0.00,20000,13791
10649,187.25,200.00,232.55,299.99,13.74,0.00,0.00,0.0000,6.0000,3719.90,0.00,0,0,0.00,0.00,20000,15641
10849,190.43,200.00,299.42,500.02,16.03,0.00,0.00,0.0000,6.0000,3689.11,0.00,0,0,0.00,0.00,20000,15500
11049,205.33,250.00,287.06,250.00,16.11,0.00,0.00,0.0000,6.0000,3662.10,0.00,0,0,0.00,0.00,20000,17346
11249,203.99,200.00,277.80,250.00,15.77,0.00,0.00,0.0000,6.0000,3599.84,0.00,0,0,0.00,0.00,19997,15961
11449,215.50,250.00,208.35,0.00,13.87,0.00,0.00,0.0000,6.0000,3709.79,0.00,0,0,0.00,0.00,0,15557
11649,224.12,250.00,218.76,250.00,14.49,0.00,0.00,0.0000,6.0000,3842.99,0.00,0,0,0.00,0.00,20000,15846
11849,230.59,250.00,251.57,350.01,15.78,0.00,0.00,0.0000,6.0000,3843.21,0.00,0,0,0.00,0.00,20000,17833
12049,235.44,250.00,213.68,100.00,14.70,0.00,0.00,0.0000,6.0000,3785.70,0.00,0,0,0.00,0.00,20000,16385
12249,239.08,250.00,260.26,400.01,16.34,0.00,0.00,0.0000,6.0000,3912.22,0.00,0,0,0.00,0.00,20000,16423
12449,241.81,250.00,220.20,100.00,15.12,0.00,0.00,0.0000,6.0000,3898.45,0.00,0,0,0.00,0.00,20000,18167
12649,243.86,250.00,190.15,100.00,14.20,0.00,0.00,0.0000,6.0000,3768.32,0.00,0,0,0.00,0.00,22159,20623
12849,257.89,300.00,217.61,300.01,15.56,0.00,0.00,0.0000,6.0000,3576.47,0.00,0,0,0.00,0.00,21897,20745
13049,268.42,300.00,188.21,100.00,14.94,0.00,0.00,0.0000,6.0000,3564.76,0.00,0,0,0.00,0.00,22550,21421
13249,263.82,250.00,141.16,0.00,13.25,0.00,0.00,0.0000,6.0000,3467.49,0.00,0,0,0.00,0.00,24019,23085
13449,272.86,300.00,105.87,0.00,12.39,0.00,0.00,0.0000,6.0000,3330.04,0.00,0,0,0.00,0.00,25316,24656
13649,292.15,350.00,79.40,0.00,12.16,0.00,0.00,0.0000,6.0000,3221.27,0.00,0,0,0.00,0.00,26400,25958
13849,294.11,300.00,59.55,0.00,11.57,0.00,0.00,0.0000,6.0000,3090.63,0.00,0,0,0.00,0.00,27013,26832
14049,295.58,300.00,44.66,0.00,11.13,0.00,0.00,0.0000,6.0000,3005.12,0.00,0,0,0.00,0.00,27233,27223
14249,309.19,350.00,33.50,0.00,11.21,0.00,0.00,0.0000,6.0000,2976.50,0.00,0,0,0.00,0.00,27102,27150
14449,306.89,300.00,50.12,100.00,11.68,0.00,0.00,0.0000,6.0000,2990.37,0.00,0,0,0.00,0.00,26994,27014
14649,317.67,350.00,62.59,100.00,12.44,0.00,0.00,0.0000,6.0000,3028.06,0.00,0,0,0.00,0.00,27072,27016
14849,325.75,350.00,46.94,0.00,12.20,0.00,0.00,0.0000,6.0000,3077.09,0.00,0,0,0.00,0.00,27413,27259
15049,319.31,299.99,35.21,0.00,11.60,0.00,0.00,0.0000,6.0000,3063.58,0.00,0,0,0.00,0.00,27694,27567
15249,326.99,350.01,26.41,0.00,11.56,0.00,0.00,0.0000,6.0000,3058.04,0.00,0,0,0.00,0.00,28016,27900
15449,332.74,350.00,19.80,0.00,11.54,0.00,0.00,0.0000,6.0000,3023.77,0.00,0,0,0.00,0.00,28272,28225
15649,337.05,350.00,14.85,0.00,11.52,0.00,0.00,0.0000,6.0000,3030.22,0.00,0,0,0.00,0.00,28512,28452
15849,340.29,350.00,11.14,0.00,11.50,0.00,0.00,0.0000,6.0000,3044.38,0.00,0,0,0.00,0.00,28734,28646
16049,355.22,400.00,58.35,200.00,13.53,0.00,0.00,0.0000,6.0000,3018.18,0.00,0,0,0.00,0.00,28902,28866
16249,353.91,350.00,43.77,0.00,13.01,0.00,0.00,0.0000,6.0000,3033.05,0.00,0,0,0.00,0.00,29130,29064
16449,352.94,350.00,32.82,0.00,12.62,0.00,0.00,0.0000,6.0000,3053.54,0.00,0,0,0.00,0.00,29328,29221
16649,364.70,400.00,24.62,0.00,12.74,0.00,0.00,0.0000,6.0000,3021.93,0.00,0,0,0.00,0.00,29489,29446
16849,361.03,350.00,18.46,0.00,12.42,0.00,0.00,0.0000,6.0000,3034.58,0.00,0,0,0.00,0.00,29723,29654
17049,358.27,350.00,13.85,0.00,12.18,0.00,0.00,0.0000,6.0000,2993.69,0.00,0,0,0.00,0.00,29669,29682
17249,368.70,400.00,10.39,0.00,12.41,0.00,0.00,0.0000,6.0000,2997.41,0.00,0,0,0.00,0.00,29633,29639
17449,364.03,350.00,7.79,0.00,12.17,0.00,0.00,0.0000,6.0000,2998.94,0.00,0,0,0.00,0.00,29617,29620
17649,373.02,400.00,5.84,0.00,12.40,0.00,0.00,0.0000,6.0000,2999.57,0.00,0,0,0.00,0.00,29607,29608
