time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
850,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1563.40,0.00,0,0,0.00,0.00,-1692,-1292
1050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1559.41,0.00,0,0,0.00,0.00,-2199,-1799
1250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1557.77,0.00,0,0,0.00,0.00,-3079,-2679
1450,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1562.22,0.00,0,0,0.00,0.00,-4018,-3618
1650,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1558.93,0.00,0,0,0.00,0.00,-5050,-4650
1850,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1557.58,0.00,0,0,0.00,0.00,-5979,-5579
2050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1550.62,0.00,0,0,0.00,0.00,-5939,-6339
2250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1547.78,0.00,0,0,0.00,0.00,-5216,-5616
2450,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1546.61,0.00,0,0,0.00,0.00,-4991,-4941
2650,0.00,0.00,25.00,100.00,0.82,0.00,0.00,0.0000,6.0000,1546.13,0.00,0,0,0.00,0.00,-5166,-5116
2850,0.00,0.00,43.75,100.01,1.43,0.00,0.00,0.0000,6.0000,1577.94,0.00,0,0,0.00,0.00,-5348,-5298
3050,0.00,0.00,32.81,0.00,1.07,0.00,0.00,0.0000,6.0000,1590.96,0.00,0,0,0.00,0.00,-5538,-5488
3250,0.00,0.00,24.61,0.00,0.81,0.00,0.00,0.0000,6.0000,1596.30,0.00,0,0,0.00,0.00,-5716,-5666
3450,0.00,0.00,43.46,100.00,1.42,0.00,0.00,0.0000,6.0000,1598.48,0.00,0,0,0.00,0.00,-5905,-5855
3650,0.00,0.00,32.59,0.00,1.07,0.00,0.00,0.0000,6.0000,1573.78,0.00,0,0,0.00,0.00,-6097,-6047
3850,0.00,0.00,49.45,100.00,1.62,0.00,0.00,0.0000,6.0000,1563.66,0.00,0,0,0.00,0.00,0,-7500
4050,0.00,0.00,37.08,0.00,1.21,0.00,0.00,0.0000,6.0000,1585.12,0.00,0,0,0.00,0.00,0,-5503
4250,0.00,0.00,27.81,0.00,0.91,0.00,0.00,0.0000,6.0000,1593.90,0.00,0,0,0.00,0.00,0,-2489
4450,0.00,0.00,20.86,0.00,0.68,0.00,0.00,0.0000,6.0000,1597.50,0.00,0,0,0.00,0.00,0,-188
4650,0.00,0.00,65.64,199.99,2.15,0.00,0.00,0.0000,6.0000,1598.98,0.00,0,0,0.00,0.00,0,0
4850,0.00,0.00,124.23,300.01,4.07,0.00,0.00,0.0000,6.0000,1599.58,0.00,0,0,0.00,0.00,0,0
5050,0.00,0.00,130.68,150.00,4.28,0.00,0.00,0.0000,6.0000,1599.83,0.00,0,0,0.00,0.00,0,0
5250,0.00,0.00,160.51,250.00,5.25,0.00,0.00,0.0000,6.0000,1599.93,0.00,0,0,0.00,0.00,0,0
5450,0.00,0.00,195.38,300.00,6.39,0.00,0.00,0.0000,6.0000,1639.97,0.00,0,0,0.00,0.00,0,0
5650,0.00,0.00,209.03,249.99,6.84,0.00,0.00,0.0000,6.0000,1616.37,0.00,0,0,0.00,0.00,0,0
5850,0.00,0.00,169.27,50.00,5.54,0.00,0.00,0.0000,6.0000,1574.71,0.00,0,0,0.00,0.00,0,0
6050,0.00,0.00,164.46,150.00,5.38,0.00,0.00,0.0000,6.0000,1942.92,0.00,0,0,0.00,0.00,0,0
6250,0.00,0.00,135.84,50.00,4.45,0.00,0.00,0.0000,6.0000,2233.26,0.00,0,0,0.00,0.00,2932,343
6450,0.00,0.00,101.88,0.00,3.33,0.00,0.00,0.0000,6.0000,2429.30,0.00,0,0,0.00,0.00,5380,2180
6650,0.00,0.00,76.41,0.00,2.50,0.00,0.00,0.0000,6.0000,2622.56,0.00,0,0,0.00,0.00,7794,3432
6850,0.00,0.00,82.31,100.00,2.69,0.00,0.00,0.0000,6.0000,2669.72,0.00,0,0,0.00,0.00,8383,4358
7050,0.00,0.00,61.73,0.00,2.02,0.00,0.00,0.0000,6.0000,2654.16,0.00,0,0,0.00,0.00,8188,7078
7250,0.00,0.00,71.30,100.00,2.33,0.00,0.00,0.0000,6.0000,2464.10,0.00,0,0,0.00,0.00,5982,7054
7450,12.50,50.00,65.97,50.00,2.57,0.00,0.00,0.0000,6.0000,2405.78,0.00,0,0,0.00,0.00,5087,5443
7650,34.38,100.00,49.48,0.00,2.74,0.00,0.00,0.0000,6.0000,2650.05,0.00,0,0,0.00,0.00,8137,5263
7850,50.78,100.00,62.11,100.00,3.69,0.00,0.00,0.0000,6.0000,2856.66,0.00,0,0,0.00,0.00,10717,7221
8050,63.09,100.00,46.58,0.00,3.59,0.00,0.00,0.0000,6.0000,2941.29,0.00,0,0,0.00,0.00,11774,7833
8250,72.31,100.00,34.94,0.00,3.51,0.00,0.00,0.0000,6.0000,3113.55,0.00,0,0,0.00,0.00,13925,7974
8450,91.74,150.00,51.20,100.00,4.68,0.00,0.00,0.0000,6.0000,3340.27,0.00,0,0,0.00,0.00,16756,9539
8650,106.30,150.00,113.40,299.99,7.19,0.00,0.00,0.0000,6.0000,3533.61,0.00,0,0,0.00,0.00,19171,8178
8850,117.23,150.00,147.55,250.01,8.66,0.00,0.00,0.0000,6.0000,3665.29,0.00,0,0,0.00,0.00,20000,8673
9050,125.42,150.00,173.17,250.01,9.77,0.00,0.00,0.0000,6.0000,3684.34,0.00,0,0,0.00,0.00,20000,11303
9250,131.56,150.00,179.87,200.00,10.19,0.00,0.00,0.0000,6.0000,3674.55,0.00,0,0,0.00,0.00,20000,9053
9450,148.67,200.00,134.90,0.00,9.28,0.00,0.00,0.0000,6.0000,3820.61,0.00,0,0,0.00,0.00,20000,7577
9650,149.01,150.00,176.18,299.99,10.64,0.00,0.00,0.0000,6.0000,3862.52,0.00,0,0,0.00,0.00,20000,7954
9850,149.25,150.00,169.63,150.01,10.44,0.00,0.00,0.0000,6.0000,3857.61,0.00,0,0,0.00,0.00,20000,9663
10050,149.44,150.00,139.72,50.00,9.46,0.00,0.00,0.0000,6.0000,3766.00,0.00,0,0,0.00,0.00,20000,11664
10250,162.08,200.00,179.79,300.01,11.19,0.00,0.00,0.0000,6.0000,3739.99,0.00,0,0,0.00,0.00,20000,10218
10450,159.06,150.00,134.85,0.00,9.62,0.00,0.00,0.0000,6.0000,3801.02,0.00,0,0,0.00,0.00,20000,10621
10650,169.30,200.00,101.13,0.00,8.85,0.00,0.00,0.0000,6.0000,3670.82,0.00,0,0,0.00,0.00,20000,12461
10850,164.47,150.00,100.85,100.01,8.68,0.00,0.00,0.0000,6.0000,3418.45,0.00,0,0,0.00,0.00,17732,12870
11050,173.35,200.00,75.64,0.00,8.15,0.00,0.00,0.0000,6.0000,3407.56,0.00,0,0,0.00,0.00,17596,14440
11250,180.02,200.00,169.23,449.99,11.43,0.00,0.00,0.0000,6.0000,3403.10,0.00,0,0,0.00,0.00,17541,12848
11450,172.51,150.00,239.42,450.00,13.48,0.00,0.00,0.0000,6.0000,3487.35,0.00,0,0,0.00,0.00,18593,11769
11650,179.38,200.00,204.56,100.00,12.56,0.00,0.00,0.0000,6.0000,3579.46,0.00,0,0,0.00,0.00,19743,12463
11850,184.54,200.00,240.93,350.02,13.92,0.00,0.00,0.0000,6.0000,3559.59,0.00,0,0,0.00,0.00,19495,15020
12050,188.40,200.00,243.20,250.00,14.12,0.00,0.00,0.0000,6.0000,3465.37,0.00,0,0,0.00,0.00,18318,15930
12250,191.30,200.00,257.40,300.00,14.68,0.00,0.00,0.0000,6.0000,3498.77,0.00,0,0,0.00,0.00,18735,13435
12450,193.47,199.99,193.05,0.00,12.65,0.00,0.00,0.0000,6.0000,3644.62,0.00,0,0,0.00,0.00,20000,13000
12650,195.11,200.01,157.29,50.00,11.53,0.00,0.00,0.0000,6.0000,3643.88,0.00,0,0,0.00,0.00,20000,14348
12850,196.33,200.00,130.47,50.00,10.69,0.00,0.00,0.0000,6.0000,3617.97,0.00,0,0,0.00,0.00,20000,14753
13050,197.25,200.00,160.35,250.00,11.70,0.00,0.00,0.0000,6.0000,3554.88,0.00,0,0,0.00,0.00,19436,16342
13250,197.94,200.00,132.76,50.00,10.82,0.00,0.00,0.0000,6.0000,3463.44,0.00,0,0,0.00,0.00,18294,15914
13450,210.95,250.00,149.57,200.00,11.80,0.00,0.00,0.0000,6.0000,3333.50,0.00,0,0,0.00,0.00,17504,16837
13650,208.21,200.00,174.68,250.00,12.53,0.00,0.00,0.0000,6.0000,3286.68,0.00,0,0,0.00,0.00,18676,18103
13850,206.16,200.00,243.51,450.02,14.72,0.00,0.00,0.0000,6.0000,3235.51,0.00,0,0,0.00,0.00,19795,19324
14050,217.12,250.00,332.63,600.00,17.99,0.00,0.00,0.0000,6.0000,3214.54,0.00,0,0,0.00,0.00,20844,20415
14250,225.34,250.00,274.47,100.00,16.36,0.00,0.00,0.0000,6.0000,3153.48,0.00,0,0,0.00,0.00,21587,21281
14450,231.51,250.00,205.86,0.00,14.31,0.00,0.00,0.0000,6.0000,3115.34,0.00,0,0,0.00,0.00,22340,22110
14650,248.63,300.00,204.39,199.99,14.83,0.00,0.00,0.0000,6.0000,3133.33,0.00,0,0,0.00,0.00,23069,22803
14850,248.97,250.00,228.30,300.01,15.62,0.00,0.00,0.0000,6.0000,3080.21,0.00,0,0,0.00,0.00,23511,23351
15050,261.73,300.00,221.22,200.00,15.80,0.00,0.00,0.0000,6.0000,3093.33,0.00,0,0,0.00,0.00,24073,23887
15250,258.80,250.00,215.92,200.00,15.53,0.00,0.00,0.0000,6.0000,3063.83,0.00,0,0,0.00,0.00,24480,24353
15450,269.10,300.00,211.94,200.00,15.74,0.00,0.00,0.0000,6.0000,3051.74,0.00,0,0,0.00,0.00,24855,24752
15650,276.82,300.00,208.95,199.99,15.90,0.00,0.00,0.0000,6.0000,3081.67,0.00,0,0,0.00,0.00,25348,25185
15850,282.62,300.00,206.72,200.01,16.01,0.00,0.00,0.0000,6.0000,3065.45,0.00,0,0,0.00,0.00,25726,25596
16050,299.46,350.00,255.03,399.98,18.15,0.00,0.00,0.0000,6.0000,3058.81,0.00,0,0,0.00,0.00,26046,25929
16250,299.60,300.00,291.28,400.02,19.34,0.00,0.00,0.0000,6.0000,3024.09,0.00,0,0,0.00,0.00,26288,26240
16450,299.70,300.00,218.46,0.00,16.96,0.00,0.00,0.0000,6.0000,3070.35,0.00,0,0,0.00,0.00,26610,26470
16650,312.27,350.00,163.84,0.00,15.58,0.00,0.00,0.0000,6.0000,3060.81,0.00,0,0,0.00,0.00,26949,26828
16850,321.71,350.00,172.89,200.01,16.19,0.00,0.00,0.0000,6.0000,3045.39,0.00,0,0,0.00,0.00,27264,27174
17050,316.28,300.00,229.66,400.00,17.87,0.00,0.00,0.0000,6.0000,3079.07,0.00,0,0,0.00,0.00,27655,27497
