time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,rl_speed_mph,rr_speed_mph,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,1757.09,1.00,0,0,0.00,0.00,-2351,-1951
1052,0.00,0.00,37.50,150.00,0.00,2.45,1.23,0.00,0.00,0.0000,6.0000,1725.67,1.00,0,0,0.00,0.00,-2630,-2230
1252,0.00,0.00,28.13,0.00,0.00,1.84,0.92,0.00,0.00,0.0000,6.0000,1725.67,1.00,0,0,0.00,0.00,-2630,-2230
1452,0.00,0.00,33.59,50.00,0.00,2.20,1.10,0.00,0.00,0.0000,6.0000,1768.00,1.00,0,0,0.00,0.00,-1112,-712
1652,0.00,0.00,25.20,0.00,0.00,1.65,0.82,0.00,0.00,0.0000,6.0000,1761.29,1.00,0,0,0.00,0.00,-2356,-1956
1852,0.00,0.00,18.90,0.00,0.00,1.24,0.62,0.00,0.00,0.0000,6.0000,1763.67,1.00,0,0,0.00,0.00,-3554,-3154
2052,0.00,0.00,39.17,100.00,0.00,2.56,1.28,0.00,0.00,0.0000,6.0000,1785.12,1.00,0,0,0.00,0.00,-3360,-3760
2252,0.00,0.00,29.38,0.00,0.00,1.92,0.96,0.00,0.00,0.0000,6.0000,1773.42,1.00,0,0,0.00,0.00,-2774,-3174
2452,0.00,0.00,47.03,100.00,0.00,3.08,1.54,0.00,0.00,0.0000,6.0000,1757.11,1.00,0,0,0.00,0.00,-2939,-2889
2652,0.00,0.00,122.78,350.00,0.00,8.04,4.02,0.00,0.00,0.0000,6.0000,1782.43,1.00,0,0,0.00,0.00,-3143,-3093
2852,0.00,0.00,154.58,250.00,0.00,10.12,5.06,0.00,0.00,0.0000,6.0000,1752.81,1.00,0,0,0.00,0.00,-3349,-3299
3052,0.00,0.00,215.94,400.00,0.00,14.13,7.07,0.00,0.00,0.0000,6.0000,1820.67,1.00,0,0,0.00,0.00,-3557,-3507
3252,0.00,0.00,161.95,0.00,0.00,10.60,5.30,0.00,0.00,0.0000,6.0000,1808.47,1.00,0,0,0.00,0.00,0,-6560
3452,0.00,0.00,121.46,0.00,0.00,7.95,3.97,0.00,0.00,0.0000,6.0000,1763.47,1.00,0,0,0.00,0.00,0,-6185
3652,0.00,0.00,91.10,0.00,0.00,5.96,2.98,0.00,0.00,0.0000,6.0000,1785.04,1.00,0,0,0.00,0.00,0,-5307
3852,0.00,0.00,68.32,0.00,0.00,4.47,2.24,0.00,0.00,0.0000,6.0000,1793.87,1.00,0,0,0.00,0.00,0,-3516
4052,0.00,0.00,51.24,0.00,0.00,3.35,1.68,0.00,0.00,0.0000,6.0000,1765.49,1.00,0,0,0.00,0.00,0,-1353
4252,0.00,0.00,38.43,0.00,0.00,2.52,1.26,0.00,0.00,0.0000,6.0000,1785.86,1.00,0,0,0.00,0.00,0,-141
4452,0.00,0.00,91.32,250.00,0.00,5.98,2.99,0.00,0.00,0.0000,6.0000,1773.73,1.00,0,0,0.00,0.00,0,0
4652,0.00,0.00,118.49,200.00,0.00,7.76,3.88,0.00,0.00,0.0000,6.0000,1768.76,1.00,0,0,0.00,0.00,0,0
4852,0.00,0.00,138.87,200.00,0.00,9.09,4.54,0.00,0.00,0.0000,6.0000,1787.20,1.00,0,0,0.00,0.00,0,0
5052,0.00,0.00,104.15,0.00,0.00,6.82,3.41,0.00,0.00,0.0000,6.0000,1794.76,1.00,0,0,0.00,0.00,0,0
5252,0.00,0.00,128.11,200.00,0.00,8.39,4.19,0.00,0.00,0.0000,6.0000,1797.85,1.00,0,0,0.00,0.00,0,0
5452,0.00,0.00,171.09,300.00,0.00,11.20,5.60,0.00,0.00,0.0000,6.0000,1799.12,1.00,0,0,0.00,0.00,0,0
5652,0.00,0.00,203.31,299.99,0.00,13.31,6.65,0.00,0.00,0.0000,6.0000,1799.64,1.00,0,0,0.00,0.00,0,0
5852,0.00,0.00,177.49,100.00,0.00,11.62,5.81,0.00,0.00,0.0000,6.0000,1774.25,1.00,0,0,0.00,0.00,0,0
6052,0.00,0.00,158.11,100.00,0.00,10.35,5.17,0.00,0.00,0.0000,6.0000,1757.45,1.00,0,0,0.00,0.00,0,0
6252,0.00,0.00,168.59,200.00,0.00,11.03,5.52,0.00,0.00,0.0000,6.0000,1782.57,1.00,0,0,0.00,0.00,0,0
6452,0.00,0.00,126.44,0.00,0.00,8.28,4.14,0.00,0.00,0.0000,6.0000,1760.86,1.00,0,0,0.00,0.00,0,0
6652,0.00,0.00,94.83,0.00,0.00,6.21,3.10,0.00,0.00,0.0000,6.0000,1783.97,1.00,0,0,0.00,0.00,0,0
6852,0.00,0.00,71.12,0.00,0.00,4.65,2.33,0.00,0.00,0.0000,6.0000,1793.43,1.00,0,0,0.00,0.00,0,0
7052,0.00,0.00,53.34,0.00,0.00,3.49,1.75,0.00,0.00,0.0000,6.0000,1797.31,1.00,0,0,0.00,0.00,0,0
7252,0.00,0.00,40.01,0.00,0.00,2.62,1.31,0.00,0.00,0.0000,6.0000,1830.90,0.00,0,0,0.00,0.00,0,0
