time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,rl_speed_mph,rr_speed_mph,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-1572,-1172
1052,0.00,0.00,12.50,50.00,0.00,0.82,0.41,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-2084,-1684
1252,0.00,0.00,9.38,0.00,0.00,0.61,0.31,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-3056,-2656
1452,12.50,50.00,7.03,0.00,0.82,0.46,0.64,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-3984,-3584
1652,9.38,0.00,5.27,0.00,0.61,0.35,0.48,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5009,-4609
1852,7.03,0.00,16.46,50.00,0.46,1.08,0.77,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5953,-5553
2052,5.27,0.00,12.34,0.00,0.35,0.81,0.58,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5610,-6010
2252,16.46,50.00,9.26,0.00,1.08,0.61,0.84,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4649,-5049
2452,12.34,0.00,6.94,0.00,0.81,0.45,0.63,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4718,-4668
2652,9.26,0.00,5.21,0.00,0.61,0.34,0.47,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4897,-4847
2852,6.94,0.00,3.90,0.00,0.45,0.26,0.35,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5043,-4993
3052,5.21,0.00,2.93,0.00,0.34,0.19,0.27,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5201,-5151
3252,3.90,0.00,2.20,0.00,0.26,0.14,0.20,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5320,-5270
3452,2.93,0.00,1.65,0.00,0.19,0.11,0.15,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5471,-5421
3652,2.20,0.00,1.24,0.00,0.14,0.08,0.11,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5648,-5598
3852,1.65,0.00,0.93,0.00,0.11,0.06,0.08,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5839,-5789
4052,1.24,0.00,0.69,0.00,0.08,0.05,0.06,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-5844
4252,0.93,0.00,13.02,50.00,0.06,0.85,0.46,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-4377
4452,0.69,0.00,22.27,50.00,0.05,1.46,0.75,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-3241
4652,0.52,0.00,54.20,150.00,0.03,3.55,1.79,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-2423
4852,12.89,50.00,53.15,50.00,0.84,3.48,2.16,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-253
5052,9.67,0.00,39.86,0.00,0.63,2.61,1.62,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5252,7.25,0.00,29.90,0.00,0.47,1.96,1.22,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5452,5.44,0.00,22.42,0.00,0.36,1.47,0.91,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5652,4.08,0.00,16.82,0.00,0.27,1.10,0.68,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5852,3.06,0.00,12.61,0.00,0.20,0.83,0.51,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6052,2.29,0.00,9.46,0.00,0.15,0.62,0.38,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6252,1.72,0.00,7.09,0.00,0.11,0.46,0.29,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6452,1.29,0.00,5.32,0.00,0.08,0.35,0.22,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6652,0.97,0.00,3.99,0.00,0.06,0.26,0.16,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6852,0.73,0.00,2.99,0.00,0.05,0.20,0.12,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7052,0.54,0.00,2.24,0.00,0.04,0.15,0.09,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7252,0.41,0.00,1.68,0.00,0.03,0.11,0.07,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7452,0.31,0.00,1.26,0.00,0.02,0.08,0.05,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7652,0.23,0.00,0.95,0.00,0.02,0.06,0.04,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7852,0.17,0.00,0.71,0.00,0.01,0.05,0.03,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8052,0.13,0.00,0.53,0.00,0.01,0.03,0.02,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8252,0.10,0.00,0.40,0.00,0.01,0.03,0.02,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8452,12.57,50.00,0.30,0.00,0.82,0.02,0.42,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8652,9.43,0.00,0.22,0.00,0.62,0.01,0.32,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8852,7.07,0.00,0.17,0.00,0.46,0.01,0.24,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9052,5.30,0.00,0.13,0.00,0.35,0.01,0.18,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9252,3.98,0.00,0.09,0.00,0.26,0.01,0.13,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9452,2.98,0.00,0.07,0.00,0.20,0.00,0.10,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9652,2.24,0.00,0.05,0.00,0.15,0.00,0.07,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9852,1.68,0.00,0.04,0.00,0.11,0.00,0.06,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10052,1.26,0.00,0.03,0.00,0.08,0.00,0.04,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10252,0.94,0.00,0.02,0.00,0.06,0.00,0.03,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10452,0.71,0.00,0.02,0.00,0.05,0.00,0.02,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10652,0.53,0.00,0.01,0.00,0.03,0.00,0.02,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10852,0.40,0.00,0.01,0.00,0.03,0.00,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
11052,0.30,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
11252,0.22,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
11452,0.17,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
11652,0.13,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
11852,0.09,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12052,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12252,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12452,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12652,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12852,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
13052,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
13252,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
13452,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
13652,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
13852,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
14052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
14252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
14452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
14652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
14852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
15052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
15252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
15452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
15652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
15852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
16052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
16252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
16452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
16652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
16852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
17052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
17252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
17452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
17652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
17852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
