time_ms,rl_rpm,rl_rpm_raw,rr_rpm,rr_rpm_raw,rl_speed_mph,rr_speed_mph,speed_mph,fl_rpm,fr_rpm,fuel_consumed_l,fuel_remaining_l,engine_rpm,secondary_rpm,mode,status,temperature_c,brake_pot,motor_setpoint,motor_position
851,0.00,0.00,11.88,47.50,0.00,0.78,0.39,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-2432,-2032
1051,0.00,0.00,8.91,0.00,0.00,0.58,0.29,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-3451,-3051
1251,0.00,0.00,6.68,0.00,0.00,0.44,0.22,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4701,-4301
1451,0.00,0.00,5.01,0.00,0.00,0.33,0.16,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5898,-5498
1651,0.00,0.00,28.76,100.00,0.00,1.88,0.94,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5289,-5689
1851,0.00,0.00,21.57,0.00,0.00,1.41,0.71,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4512,-4912
2051,0.00,0.00,28.68,50.00,0.00,1.88,0.94,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-4960,-4910
2251,0.00,0.00,21.51,0.00,0.00,1.41,0.70,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5162,-5112
2451,0.00,0.00,16.13,0.00,0.00,1.06,0.53,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5368,-5318
2651,0.00,0.00,12.10,0.00,0.00,0.79,0.40,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5573,-5523
2851,0.00,0.00,9.07,0.00,0.00,0.59,0.30,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,-5781,-5731
3051,0.00,0.00,6.80,0.00,0.00,0.45,0.22,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-6075
3251,0.00,0.00,42.60,150.00,0.00,2.79,1.39,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-5414
3451,0.00,0.00,31.95,0.00,0.00,2.09,1.05,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-3853
3651,0.00,0.00,23.96,0.00,0.00,1.57,0.78,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-1608
3851,0.00,0.00,17.97,0.00,0.00,1.18,0.59,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,-250
4051,0.00,0.00,25.98,50.00,0.00,1.70,0.85,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
4251,0.00,0.00,19.49,0.00,0.00,1.28,0.64,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
4451,0.00,0.00,14.61,0.00,0.00,0.96,0.48,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
4651,0.00,0.00,10.96,0.00,0.00,0.72,0.36,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
4851,0.00,0.00,8.22,0.00,0.00,0.54,0.27,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5051,0.00,0.00,6.17,0.00,0.00,0.40,0.20,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5251,0.00,0.00,4.62,0.00,0.00,0.30,0.15,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5451,0.00,0.00,3.47,0.00,0.00,0.23,0.11,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5651,0.00,0.00,2.60,0.00,0.00,0.17,0.09,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
5851,0.00,0.00,1.95,0.00,0.00,0.13,0.06,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6051,0.00,0.00,1.46,0.00,0.00,0.10,0.05,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6251,0.00,0.00,1.10,0.00,0.00,0.07,0.04,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6451,0.00,0.00,0.82,0.00,0.00,0.05,0.03,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6651,0.00,0.00,0.62,0.00,0.00,0.04,0.02,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
6851,0.00,0.00,0.46,0.00,0.00,0.03,0.02,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7051,0.00,0.00,0.35,0.00,0.00,0.02,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7251,0.00,0.00,0.26,0.00,0.00,0.02,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7451,0.00,0.00,0.20,0.00,0.00,0.01,0.01,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7651,0.00,0.00,0.15,0.00,0.00,0.01,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
7851,0.00,0.00,0.11,0.00,0.00,0.01,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8051,0.00,0.00,0.08,0.00,0.00,0.01,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8251,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8451,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8651,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
8851,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9051,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9251,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9451,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9651,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
9851,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
10851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
11051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
11251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
11451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
11651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
11851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,0.00,0,0,0.00,0.00,0,0
12651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
12851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
13051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
13251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
13451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.00,1.00,0,0,0.00,0.00,0,0
13651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,32.00,1.00,0,0,0.00,0.00,0,0
13851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,13.11,1.00,0,0,0.00,0.00,0,0
14051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,5.37,1.00,0,0,0.00,0.00,0,0
14251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,2.20,1.00,0,0,0.00,0.00,0,0
14451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.90,1.00,0,0,0.00,0.00,0,0
14651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.37,1.00,0,0,0.00,0.00,0,0
14851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.15,1.00,0,0,0.00,0.00,0,0
15051,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,6.0000,0.06,1.00,0,0,0.00,0.00,0,0
