engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
1942.286621, 1350.000000, 0.000000, -90.000000, -62.440548, 559.456848, 0.260201
2137.399658, 284.962524, 0.000000, -60.000000, -50.631073, 59.899788, 0.000000
2181.162354, 853.234253, 0.000000, -50.000000, -47.982277, 1.292054, 0.000000
2106.235596, 0.000000, 0.000000, -52.000000, -52.517319, 22.987139, 0.000000
2194.590088, 2774.944580, 0.000000, -53.000000, -47.169548, 83.328941, 0.000000
2788.151367, 8430.377930, 0.000000, -9.000000, -11.243469, -73.236214, 0.000000
2945.340576, 26417.910156, 181.814865, -8.000000, -1.729389, 32.203617, 0.000000
3173.006836, 25658.763672, 181.818176, 9.000000, 15.742949, 23.031223, 0.000000
3250.786133, 10145.465820, 148.207428, 23.000000, 37.665226, 86.789902, 0.000000
3204.951172, 0.000000, 360.094330, 60.000000, 62.784863, -2.067694, 0.000000
3060.830566, 5286.544922, 727.259460, 69.000000, 73.206413, 59.051689, 0.000000
3444.028320, 2850.000000, 892.873108, 81.000000, 94.181862, 12.627807, 0.000000
3936.211914, 7500.296875, 1052.650024, 123.000000, 163.836121, 273.535980, 0.000000
4434.127441, 2307.281738, 1428.571411, 228.000000, 260.000000, -102.400002, 0.000000
4281.717285, 6974.860840, 1636.393311, 247.000000, 260.000000, 55.900002, 0.000000
4321.495117, 3450.000000, 1607.142822, 256.000000, 260.000000, 1.200000, 0.000000
4517.134277, 4835.314941, 1800.893188, 240.000000, 260.000000, 118.000000, 0.000000
5012.130371, 8477.232422, 1802.581299, 216.000000, 260.000000, 221.199997, 0.000000
5329.261719, 5250.000000, 1964.320801, 230.000000, 260.000000, 1.000000, 0.000000
5183.431152, 6675.000000, 2000.000000, 222.000000, 260.000000, 179.399994, 0.000000
5349.206055, 6030.208496, 1964.285645, 227.000000, 260.000000, 45.900002, 0.000000
5166.418945, 6749.763672, 2161.266357, 253.000000, 260.000000, -1.900000, 0.000000
5173.999023, 2999.895020, 1982.803711, 234.000000, 260.000000, 143.800003, 0.000000
5370.281250, 974.960999, 2142.895508, 223.000000, 260.000000, 111.099998, 0.000000
5250.115723, 426.457397, 2000.000000, 231.000000, 260.000000, 172.699997, 0.000000
5361.729492, 8325.000000, 2142.857178, 246.000000, 260.000000, -67.800003, 0.000000
5196.270508, 12525.000000, 2181.738770, 253.000000, 260.000000, 62.099998, 0.000000
