engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.256187
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.256187
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.244816
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.238796
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.246154
314.317902, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.256856
1745.163574, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.206689
2156.886475, 0.000000, 0.000000, -61.000000, -23.507710, 158.971619, 0.000000
2224.323486, 0.000000, 0.000000, -12.000000, -20.490791, -21.464176, 0.000000
2234.404541, 0.000000, 0.000000, -22.000000, -20.039797, 15.387341, 0.000000
2308.634277, 0.000000, 0.000000, -17.000000, -16.718992, 1.309131, 0.000000
2783.637451, 0.000000, 0.000000, -16.000000, 4.531147, 126.651268, 0.000000
3177.085693, 0.000000, 0.000000, 34.000000, 28.639286, -29.748716, 0.000000
3214.479736, 75.000000, 181.818176, 42.000000, 46.256878, 16.817640, 0.000000
3491.488037, 71.415649, 360.529266, 53.000000, 76.577538, 158.528214, 0.000000
4242.768066, 75.000000, 535.723877, 40.000000, 163.613617, 734.504150, 0.000000
4688.352051, 142.155167, 909.090942, 112.000000, 300.000000, 925.126770, 0.000000
3937.023682, 223.880585, 1272.727295, 264.000000, 300.000000, 88.800003, 0.000000
2773.067383, 213.232758, 1428.571411, 296.000000, 296.640076, 9.856939, 0.000000
2865.398438, 283.029541, 1607.114136, 268.000000, 268.557587, 11.607126, 0.000000
3480.504883, 284.408722, 1802.548828, 248.000000, 287.691620, 250.396469, 0.000000
3999.625977, 300.000000, 1964.355835, 233.000000, 300.000000, 367.100006, 0.000000
4488.827637, 225.000000, 2000.000000, 215.000000, 300.000000, 462.500000, 0.000000
4965.293457, 284.430267, 1929.824585, 190.000000, 300.000000, 601.000000, 0.000000
5336.388184, 355.537842, 2000.036377, 170.000000, 300.000000, 695.000000, 0.000000
