engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.338462
0.000000, 0.000000, 0.000000, -79.000000, -90.000000, -114.000000, 0.438796
48.700912, 0.000000, 0.000000, -97.000000, -35.000000, 617.000000, 0.502341
944.096252, 142.346054, 0.000000, -66.000000, -35.000000, 368.000000, 0.529766
1912.695923, 0.000000, 0.000000, -108.000000, -34.432026, 786.247803, 0.442140
2108.672607, 1137.203613, 0.000000, 2.000000, -25.664646, -291.072021, 0.354515
2055.584961, 0.000000, 0.000000, -48.000000, -28.039619, 209.589294, 0.335786
2175.265381, 141.713318, 0.000000, -6.000000, -22.685497, -171.078384, 0.337124
2186.310303, 1350.000000, 0.000000, -36.000000, -22.191381, 134.018372, 0.333110
2250.612305, 447.761169, 0.000000, -23.000000, -19.314713, 42.263641, 0.369900
2243.533691, 749.984985, 0.000000, -11.000000, -19.631388, -85.716309, 0.374582
2218.487305, 597.000061, 0.000000, -21.000000, -20.751884, -3.412300, 0.413378
2213.384766, 149.250015, 0.000000, -30.000000, -20.980156, 94.024040, 0.388629
2233.970703, 149.997009, 0.000000, -18.000000, -20.059204, -18.008221, 0.373913
2287.801758, 0.000000, 0.000000, -17.000000, -17.650974, -4.919331, 0.397993
2306.984863, 848.880432, 0.000000, -14.000000, -16.792782, -26.927927, 0.459532
2247.672363, 710.913940, 0.000000, -14.000000, -19.446236, -55.532070, 0.458863
2233.817383, 568.817444, 0.000000, -16.000000, -20.066065, -42.764954, 0.396655
2222.843750, 149.999252, 0.000000, -20.000000, -20.556990, -7.090658, 0.000000
2204.708008, 449.990997, 0.000000, -20.000000, -21.368326, -13.023245, 0.000000
2240.614746, 600.000000, 0.000000, -21.000000, -19.761971, 13.029472, 0.000000
2667.078125, 2238.805908, 0.000000, -20.000000, -0.683346, 198.408722, 0.000000
3868.887451, 600.000000, 0.000000, 48.000000, 61.118671, 127.504654, 0.000000
3939.578369, 71.109261, 714.285706, 168.000000, 179.074692, 111.885895, 0.000000
2630.304688, 2417.027100, 1111.111084, 197.000000, 187.007690, -98.716782, 0.000000
3474.105225, 899.963989, 1272.750366, 144.000000, 182.115967, 388.337219, 0.000000
4605.506348, 1044.526611, 1428.571411, 122.000000, 293.592010, 1733.645142, 0.000000
5266.902344, 1350.448486, 1439.625732, 94.000000, 300.000000, 2062.000000, 0.000000
