engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
3890.269043, 1776.905884, 2159.477295, 295.000000, 300.000000, 48.000000, 0.000000
3023.908203, 2410.048584, 2164.853516, 294.000000, 300.000000, 61.000000, 0.000000
3293.823975, 374.992493, 2142.895508, 296.000000, 300.000000, 42.000000, 0.000000
3433.465820, 524.986877, 2181.857910, 298.000000, 300.000000, 23.000000, 0.000000
3693.814941, 1050.000000, 2153.812988, 275.000000, 300.000000, 251.000000, 0.000000
3140.700684, 5100.000000, 1984.843018, 304.000000, 300.000000, -34.000000, 0.000000
3102.534180, 4764.320312, 1964.320801, 297.000000, 300.000000, 24.000000, 0.000000
3161.850098, 1986.802002, 1818.181885, 283.000000, 300.000000, 172.000000, 0.000000
3113.257812, 717.511108, 2000.000000, 307.000000, 300.000000, -66.000000, 0.000000
3080.523193, 300.000000, 1964.320801, 275.000000, 300.000000, 251.000000, 0.000000
3162.610840, 2400.000000, 1818.181885, 313.000000, 300.000000, -140.000000, 0.000000
3318.173096, 3900.000000, 1964.285645, 272.000000, 300.000000, 283.000000, 0.000000
3918.713867, 1703.053711, 1999.963623, 251.000000, 300.000000, 492.000000, 0.000000
4474.298828, 2785.608154, 2181.857910, 231.000000, 300.000000, 692.000000, 0.000000
5005.055176, 2025.000000, 2181.818115, 210.000000, 300.000000, 903.000000, 0.000000
5286.871094, 2925.000000, 2181.857910, 187.000000, 300.000000, 1131.000000, 0.000000
5332.008301, 2325.000000, 2159.322021, 189.000000, 300.000000, 1104.000000, 0.000000
5042.535645, 3445.091309, 2363.593262, 308.000000, 300.000000, -95.000000, 0.000000
4077.198242, 3555.513428, 2321.428467, 271.000000, 300.000000, 293.000000, 0.000000
4677.867676, 639.686096, 2363.679199, 248.000000, 300.000000, 522.000000, 0.000000
5161.787598, 1874.934326, 2321.428467, 230.000000, 300.000000, 701.000000, 0.000000
5316.223633, 642.710205, 2321.428467, 211.000000, 300.000000, 892.000000, 0.000000
5374.873535, 2624.907959, 2363.679199, 206.000000, 300.000000, 936.000000, 0.000000
5081.351074, 824.950500, 2321.428467, 315.000000, 300.000000, -165.000000, 0.000000
4127.470703, 375.000000, 2339.476074, 302.000000, 300.000000, -17.000000, 0.000000
4299.718750, 2325.000000, 2526.163818, 290.000000, 300.000000, 104.000000, 0.000000
4739.770508, 2625.000000, 2500.044678, 262.000000, 300.000000, 383.000000, 0.000000
5202.104004, 2025.000000, 2545.454590, 244.000000, 300.000000, 562.000000, 0.000000
5327.305176, 1500.057129, 2545.454590, 230.000000, 300.000000, 701.000000, 0.000000
5037.107910, 497.762451, 2321.469971, 248.000000, 300.000000, 512.000000, 0.000000
3764.568848, 1208.296021, 2181.818115, 312.000000, 300.000000, -114.000000, 0.391973
2872.869141, 497.517151, 1785.714233, 295.000000, 298.024109, 22.104980, 0.416722
2562.800537, 928.584717, 1454.571899, 266.000000, 268.744415, 33.163696, 0.480936
2507.665527, 1493.046631, 1445.191162, 240.000000, -35.000000, -171.648407, 0.463545
