time_us,engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position,kp_term,ki_term,kd_term
200.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
666853, 1460.982788, 900.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
878755, 1485.980347, 142.878235, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1091929, 1494.069580, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1302793, 1494.913940, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1513798, 1475.133301, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1714788, 1459.193726, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1925861, 1476.832031, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2136804, 1476.832153, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2339858, 1487.669067, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2550856, 1504.077759, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2761826, 1684.652954, 299.998505, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2972937, 1978.379639, 0.000000, 0.000000, -90.000000, -31.493542, 450.801117, 0.000000, 87.759687, 12.002664, 351.038761
3183845, 2192.472656, 0.000000, 0.000000, -81.000000, -21.915697, 137.066010, 0.000000, 88.626457, 63.569051, -15.129501
3394542, 2332.211670, 0.000000, 181.818176, -55.000000, -15.664215, 122.101181, 0.000000, 59.003677, 106.219805, -43.122300
3616519, 2479.853516, 0.000000, 0.000000, -19.000000, -9.059185, 86.979729, 0.000000, 14.911222, 126.000000, -53.931495
3819886, 2555.735352, 0.000000, 175.438599, 21.000000, -5.664473, 40.941319, 0.000000, -39.996709, 117.919614, -64.979281
4030890, 2416.072266, 74.626862, 535.723877, 57.000000, -11.912558, -19.979641, 0.000000, -103.368839, 76.801030, -65.770018
4252774, 1936.057617, 225.000000, 181.804962, 60.000000, -33.386894, -65.041763, 0.000000, -140.080341, 5.768076, -28.785735
4463822, 1347.086304, 355.507507, 181.804962, 48.000000, -90.000000, -44.099998, 0.000000, -207.000000, 0.000000, 18.000001
4685814, 926.317566, 0.000000, 535.714294, 40.000000, -90.000000, -46.500000, 0.000000, -195.000000, 0.000000, 12.000000
4896883, 896.695007, 74.626495, 363.636353, 27.000000, -90.000000, -28.650000, 0.000000, -175.500000, 0.000000, 24.000000
