time_us,engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position,kp_term,ki_term,kd_term
649842, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
850845, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1052667, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1253486, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1463714, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1664734, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1866841, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2067845, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2269817, 0.000000, 0.000000, 0.000000, -87.000000, -90.000000, 1.000000, 0.000000, -4.500000, 0.000000, -6.000000
2470468, 0.000000, 0.000000, 0.000000, -86.000000, -90.000000, 1.000000, 0.000000, -6.000000, 0.000000, 0.000000
2680777, 0.000000, 0.000000, 0.000000, -86.000000, -90.000000, 1.000000, 0.000000, -6.000000, 0.000000, 0.000000
2883750, 0.000000, 0.000000, 0.000000, -86.000000, -90.000000, 1.000000, 0.000000, -6.000000, 0.000000, 0.000000
3085724, 0.000000, 0.000000, 0.000000, -82.000000, -90.000000, -18.000000, 0.000000, -12.000000, 0.000000, -6.000000
3286727, 0.000000, 0.000000, 0.000000, -82.000000, -90.000000, 1.000000, 0.000000, -12.000000, 0.000000, 0.000000
3497875, 0.000000, 0.000000, 0.000000, -82.000000, -90.000000, 1.000000, 0.000000, -12.000000, 0.000000, 0.000000
3699907, 0.000000, 0.000000, 0.000000, -81.000000, -90.000000, -19.500000, 0.000000, -13.500000, 0.000000, -6.000000
3900846, 0.000000, 0.000000, 0.000000, -80.000000, -90.000000, 1.000000, 0.000000, -15.000000, 0.000000, 6.000000
4103689, 0.000000, 0.000000, 0.000000, -80.000000, -90.000000, 1.000000, 0.000000, -15.000000, 0.000000, 6.000000
4316485, 0.000000, 0.000000, 0.000000, -80.000000, -90.000000, -15.000000, 0.000000, -15.000000, 0.000000, 0.000000
4516848, 0.000000, 0.000000, 0.000000, -81.000000, -90.000000, 1.000000, 0.000000, -13.500000, 0.000000, 0.000000
4717852, 0.000000, 0.000000, 0.000000, -81.000000, -90.000000, 1.000000, 0.000000, -13.500000, 0.000000, 0.000000
4919847, 0.000000, 0.000000, 0.000000, -81.000000, -90.000000, 1.000000, 0.000000, -13.500000, 0.000000, 0.000000
5120717, 0.000000, 0.000000, 0.000000, -83.000000, -90.000000, 1.000000, 0.000000, -10.500000, 0.000000, 6.000000
5322483, 0.000000, 0.000000, 0.000000, -86.000000, -90.000000, 1.000000, 0.000000, -6.000000, 0.000000, 0.000000
5532717, 0.000000, 0.000000, 0.000000, -87.000000, -90.000000, 1.000000, 0.000000, -4.500000, 0.000000, 0.000000
5733731, 0.000000, 0.000000, 0.000000, -87.000000, -90.000000, 1.000000, 0.000000, -4.500000, 0.000000, 0.000000
5936767, 0.000000, 0.000000, 0.000000, -88.000000, -90.000000, 3.000000, 0.000000, -3.000000, 0.000000, 6.000000
6138765, 0.000000, 0.000000, 0.000000, -91.000000, -90.000000, 7.710000, 0.000000, 1.500000, 0.210000, 6.000000
6339789, 0.000000, 0.000000, 0.000000, -92.000000, -90.000000, 4.890000, 0.000000, 3.000000, 1.890000, 0.000000
6542646, 0.000000, 0.000000, 0.000000, -92.000000, -90.000000, 6.570000, 0.000000, 3.000000, 3.570000, 0.000000
6744811, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.990000, 0.000000, 0.000000, 3.990000, 0.000000
6955719, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.906000, 0.000000, 0.000000, 3.906000, 0.000000
7157703, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.906000, 0.000000, 0.000000, 3.906000, 0.000000
7358760, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.906000, 0.000000, 0.000000, 3.906000, 0.000000
7560755, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.906000, 0.000000, 0.000000, 3.906000, 0.000000
7761769, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.906000, 0.000000, 0.000000, 3.906000, 0.000000
7964805, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.906000, 0.000000, 0.000000, 3.906000, 0.000000
8166882, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.906000, 0.000000, 0.000000, 3.906000, 0.000000
8367508, 0.000000, 0.000000, 0.000000, -90.000000, -90.000000, 3.906000, 0.000000, 0.000000, 3.906000, 0.000000
