engine_rpm,wheel_rpm,secondary_rpm,sheave_position,brake_position
0, 0.000000, 0.000000, -76, 0.580602
0, 0.000000, 0.000000, -67, 0.588629
0, 0.000000, 0.000000, -67, 0.620067
0, 0.000000, 0.000000, -69, 0.619398
0, 0.000000, 0.000000, -79, 0.618060
0, 0.000000, 0.000000, -91, 0.620736
0, 0.000000, 0.000000, -89, 0.606020
0, 0.000000, 0.000000, -90, 0.615385
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -89, 0.606020
0, 0.000000, 0.000000, -87, 0.620736
0, 0.000000, 0.000000, -89, 0.643478
0, 0.000000, 0.000000, -90, 0.673579
0, 0.000000, 0.000000, -88, 0.668896
0, 0.000000, 0.000000, -90, 0.610702
0, 0.000000, 0.000000, -90, 0.694983
0, 0.000000, 0.000000, -88, 0.665552
0, 0.000000, 0.000000, -90, 0.632107
0, 0.000000, 0.000000, -87, 0.650836
0, 0.000000, 0.000000, -90, 0.651505
0, 0.000000, 0.000000, -90, 0.650836
0, 0.000000, 0.000000, -88, 0.643478
0, 0.000000, 0.000000, -94, 0.630100
0, 0.000000, 0.000000, -90, 0.696321
0, 0.000000, 0.000000, -88, 0.611371
0, 0.000000, 0.000000, -94, 0.628763
0, 0.000000, 0.000000, -88, 0.632107
0, 0.000000, 0.000000, -91, 0.634114
0, 0.000000, 0.000000, -90, 0.649498
0, 0.000000, 0.000000, -89, 0.640803
0, 0.000000, 0.000000, -84, 0.654181
0, 0.000000, 0.000000, -93, 0.636789
0, 0.000000, 0.000000, -91, 0.717057
0, 0.000000, 0.000000, -90, 0.636120
0, 0.000000, 0.000000, -90, 0.642809
0, 0.000000, 0.000000, -90, 0.639465
0, 0.000000, 0.000000, -90, 0.639465
0, 0.000000, 0.000000, -90, 0.640803
0, 0.000000, 0.000000, -90, 0.641472
0, 0.000000, 0.000000, -89, 0.342475
0, 0.000000, 0.000000, -89, 0.641472
0, 0.000000, 0.000000, -88, 0.622074
0, 0.000000, 0.000000, -92, 0.640134
0, 0.000000, 0.000000, -90, 0.635451
0, 0.000000, 0.000000, -90, 0.640134
0, 0.000000, 0.000000, -86, 0.636789
0, 0.000000, 0.000000, -89, 0.638796
0, 0.000000, 0.000000, -90, 0.634114
0, 0.000000, 0.000000, -89, 0.635451
0, 0.000000, 0.000000, -88, 0.637458
0, 0.000000, 0.000000, -89, 0.648829
0, 0.000000, 0.000000, -92, 0.626756
0, 0.000000, 0.000000, -87, 0.684950
0, 0.000000, 0.000000, -88, 0.634783
0, 0.000000, 0.000000, -89, 0.634783
0, 0.000000, 0.000000, -89, 0.728428
0, 0.000000, 0.000000, -92, 0.636789
0, 0.000000, 0.000000, -89, 0.644147
0, 0.000000, 0.000000, -90, 0.638796
0, 0.000000, 0.000000, -90, 0.643478
0, 0.000000, 0.000000, -91, 0.680936
0, 0.000000, 0.000000, -89, 0.650167
0, 0.000000, 0.000000, -91, 0.686288
0, 0.000000, 0.000000, -90, 0.635451
0, 0.000000, 0.000000, -88, 0.653512
436, 0.000000, 0.000000, -88, 0.685619
1003, 0.000000, 0.000000, -88, 0.684950
1527, 0.000000, 0.000000, -90, 0.673579
2097, 0.000000, 0.000000, -83, 0.674248
2143, 0.000000, 0.000000, -48, 0.000000
1963, 0.000000, 0.000000, -57, 0.000000
1992, 72.462715, 0.000000, -62, 0.000000
1867, 0.000000, 0.000000, -65, 0.000000
1911, 0.000000, 0.000000, -95, 0.000000
1912, 0.000000, 0.000000, -64, 0.000000
1801, 0.000000, 0.000000, -81, 0.000000
1973, 0.000000, 0.000000, -69, 0.000000
2002, 0.000000, 0.000000, -63, 0.000000
1982, 0.000000, 0.000000, -58, 0.000000
2414, 0.000000, 0.000000, -42, 0.000000
2294, 0.000000, 0.000000, -32, 0.000000
2530, 0.000000, 0.000000, -35, 0.000000
2690, 0.000000, 0.000000, -14, 0.000000
2332, 0.000000, 0.000000, -35, 0.000000
2018, 0.000000, 0.000000, -54, 0.000000
2061, 0.000000, 0.000000, -56, 0.000000
2455, 0.000000, 0.000000, -31, 0.000000
2128, 0.000000, 0.000000, -48, 0.000000
1903, 0.000000, 0.000000, -62, 0.000000
2488, 0.000000, 0.000000, -67, 0.000000
3070, 0.000000, 0.000000, 1, 0.000000
3966, 0.000000, 0.000000, 17, 0.000000
3831, 0.000000, 0.000000, 103, 0.000000
982, 0.000000, 0.000000, 152, 0.000000
26, 0.000000, 0.000000, 65, 0.000000
0, 73.528328, 0.000000, -70, 0.000000
0, 0.000000, 0.000000, -91, 0.000000
0, 0.000000, 0.000000, -92, 0.000000
0, 0.000000, 0.000000, -88, 0.000000
0, 0.000000, 0.000000, -91, 0.000000
0, 0.000000, 0.000000, -87, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -83, 0.523077
0, 0.000000, 0.000000, -66, 0.521070
0, 0.000000, 0.000000, -55, 0.458194
0, 0.000000, 0.000000, -84, 0.454849
0, 0.000000, 0.000000, -89, 0.462876
0, 0.000000, 0.000000, -88, 0.482943
0, 0.000000, 0.000000, -90, 0.404682
0, 0.000000, 0.000000, -89, 0.517057
0, 0.000000, 0.000000, -95, 0.514381
0, 0.000000, 0.000000, -90, 0.521070
0, 0.000000, 0.000000, -89, 0.513712
0, 0.000000, 0.000000, -91, 0.512375
5, 0.000000, 0.000000, -83, 0.531104
1225, 0.000000, 0.000000, -86, 0.544482
1917, 0.000000, 0.000000, -90, 0.516388
2121, 0.000000, 0.000000, -55, 0.000000
2634, 0.000000, 0.000000, -42, 0.000000
3694, 0.000000, 0.000000, 30, 0.000000
4900, 0.000000, 0.000000, 78, 0.000000
4513, 144.928238, 0.000000, 183, 0.000000
1640, 71.089714, 0.000000, 183, 0.000000
362, 71.428230, 0.000000, 156, 0.000000
40, 73.518234, 0.000000, 57, 0.000000
0, 0.000000, 0.000000, -50, 0.553177
0, 0.000000, 0.000000, -60, 0.545819
0, 0.000000, 0.000000, -74, 0.361204
0, 0.000000, 0.000000, -89, 0.000000
0, 0.000000, 0.000000, -87, 0.000000
0, 0.000000, 0.000000, -88, 0.000000
0, 0.000000, 0.000000, -88, 0.000000
0, 0.000000, 0.000000, -90, 0.000000
0, 0.000000, 0.000000, -88, 0.000000
0, 0.000000, 0.000000, -89, 0.000000
0, 0.000000, 0.000000, -91, 0.000000
0, 0.000000, 0.000000, -88, 0.347826
0, 0.000000, 0.000000, -90, 0.319064
0, 0.000000, 0.000000, -91, 0.456187
0, 0.000000, 0.000000, -88, 0.370569
0, 0.000000, 0.000000, -88, 0.294983
0, 0.000000, 0.000000, -88, 0.373244
