rpm,sheavePos
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
734, -89
159, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
482, -89
178, -89
0, -89
0, -89
531, -89
129, -89
30, -89
374, -89
30, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
235, -89
821, -89
575, -89
224, -89
0, -89
0, -89
0, -89
816, -89
796, -89
193, -89
0, -89
0, -89
0, -89
0, -89
0, -89
704, -89
106, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
0, -89
273, -89
1352, -89
1481, -89
2234, -89
2055, -34
1766, -75
2540, -50
1871, -51
2573, -67
2543, 10
2750, 0
2639, -41
4102, 43
3828, 211
4072, 210
4149, 217
4020, 222
2455, 222
1193, 186
493, -50
110, -85
0, -85
0, -85
0, -85
0, -85
0, -85
0, -85
